City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,baise city,23.8997,106.6133,27.97,99,100,0.78,CN,1725859620
169,port hedland,-20.3167,118.5667,36.03,11,20,5.66,AU,1725859666
170,kailua-kona,19.6406,-155.9956,26.98,77,0,1.54,US,1725859620
171,fraserburgh,57.6874,-2.0184,10.6,71,58,9.66,GB,1725859620
172,lincheng,19.9078,109.6858,30.9,69,100,1.39,CN,1725859620
173,fortaleza,-3.7227,-38.5247,26.79,78,0,9.26,BR,1725859620
174,nyurba,63.2842,118.3319,11.53,74,100,2.92,RU,1725859620
175,benjamin aceval,-24.9667,-57.5667,21.78,35,58,2.24,PY,1725859667
176,lakatoro,-16.0999,167.4164,25.26,61,25,8.27,VU,1725859620
177,taibet,33.0829,6.3998,23.88,67,98,3.19,DZ,1725859620
178,bayganin,48.6947,55.8742,20.69,32,61,3.03,KZ,1725859620
179,callaway,30.153,-85.5699,23.86,96,100,0.89,US,1725859620
180,khanpur,28.6453,70.6567,37.3,36,0,5.5,PK,1725859620
181,muisne,0.6,-80.0333,24.03,82,99,3.37,EC,1725859621
182,mount gambier,-37.8333,140.7667,13.95,58,78,4.79,AU,1725859667
183,belmonte,-15.8631,-38.8828,20.7,82,1,2.6,BR,1725859621
184,kuta,-8.7233,115.1723,29.97,74,20,4.63,ID,1725859621
185,san patricio,28.017,-97.5169,25.97,66,88,3.22,US,1725859668
186,hadibu,12.65,54.0333,27.17,72,28,6.64,YE,1725859621
187,mata-utu,-13.2816,-176.1745,26.53,76,28,2.78,WF,1725859621
188,sabang,5.8933,95.3214,27.32,78,100,8.42,ID,1725859621
189,capao bonito,-24.0058,-48.3494,19.21,52,2,1.08,BR,1725859668
190,celestun,20.8667,-90.4,26.76,88,97,3.96,MX,1725859621
191,nakhon si thammarat,8.25,100.0,32.63,53,100,5.86,TH,1725859621
192,san andres,12.5847,-81.7006,26.01,94,20,1.54,CO,1725859668
193,colby,39.3958,-101.0524,22.22,50,0,7.72,US,1725859621
194,lerwick,60.1545,-1.1494,9.89,72,100,5.08,GB,1725859621
195,souillac,-20.5167,57.5167,23.21,83,40,3.6,MU,1725859621
196,touros,-5.1989,-35.4608,23.03,85,36,6.11,BR,1725859622
197,nemuro,43.3236,145.575,18.05,73,1,2.73,JP,1725859622
198,grants pass,42.439,-123.3284,22.79,55,4,0.99,US,1725859669
199,ketchikan,55.3422,-131.6461,12.99,82,0,1.54,US,1725859545
200,codrington,-38.2667,141.9667,13.18,74,91,7.93,AU,1725859622
201,bellefonte,40.9134,-77.7783,9.67,86,0,1.54,US,1725859622
202,brasileia,-11.0161,-68.7481,25.5,34,39,0.15,BR,1725859622
203,vila franca do campo,37.7167,-25.4333,20.23,99,56,3.17,PT,1725859669
204,homer,59.6425,-151.5483,13.21,87,100,1.54,US,1725859622
205,fale old settlement,-9.3852,-171.2468,28.01,76,9,5.53,TK,1725859670
206,itoman,26.1247,127.6694,27.43,87,75,8.23,JP,1725859622
207,isabela,6.7085,121.9711,29.03,73,46,2.49,PH,1725859444
208,punta arenas,-53.15,-70.9167,-0.94,93,20,5.14,CL,1725859670
209,chibougamau,49.9168,-74.3659,7.79,100,100,5.66,CA,1725859622
210,lang son,21.8333,106.7333,26.43,88,100,2.8,VN,1725859622
211,jianguang,28.1938,115.7836,35.17,49,0,3.13,CN,1725859622
212,khandyga,62.6667,135.6,9.65,65,100,2.25,RU,1725859623
213,thurso,58.5927,-3.5259,9.14,74,63,7.15,GB,1725859623
214,severnoye,56.3491,78.3619,14.22,88,89,2.93,RU,1725859623
215,faya-largeau,17.9257,19.1043,32.04,26,15,2.09,TD,1725859623
216,okhotsk,59.3833,143.3,14.79,63,35,3.19,RU,1725859623
217,hawaiian paradise park,19.5933,-154.9731,24.93,80,100,0.0,US,1725859671
218,tromso,69.6496,18.957,12.01,87,0,1.03,NO,1725859623
219,afaahiti,-17.75,-149.2833,22.63,68,25,8.64,PF,1725859623
220,minot air force base,48.4209,-101.3391,19.1,51,0,3.6,US,1725859623
221,flowery branch,34.1851,-83.9252,18.79,76,0,3.09,US,1725859623
222,varash,51.3485,25.8497,13.07,33,1,3.95,UA,1725859623
223,isafjordur,66.0755,-23.124,1.65,65,98,10.76,IS,1725859623
224,siverskiy,59.3544,30.0783,13.36,72,5,1.82,RU,1725859623
225,tateyama,34.9833,139.8667,28.91,73,3,4.46,JP,1725859623
226,puerto baquerizo moreno,-0.9,-89.6,21.05,86,90,4.37,EC,1725859671
227,east london,-33.0153,27.9116,9.52,93,0,4.63,ZA,1725859600
228,oamaru,-45.0784,170.9801,15.21,46,55,0.45,NZ,1725859624
229,port saint john's,-31.6229,29.5448,13.68,80,100,4.91,ZA,1725859672
230,puerto aysen,-45.4,-72.7,4.18,100,100,1.41,CL,1725859672
231,grand gaube,-20.0064,57.6608,24.65,76,92,2.68,MU,1725859672
232,sola,-13.8833,167.55,25.02,67,48,11.57,VU,1725859624
233,tsiombe,-25.3,45.4833,25.89,53,0,0.71,MG,1725859624
234,lompoc,34.6391,-120.4579,13.4,100,100,2.06,US,1725859624
235,brigantine,39.4101,-74.3646,16.68,77,0,1.54,US,1725859624
236,acapulco de juarez,16.8634,-99.8901,26.9,89,100,2.57,MX,1725859624
237,sohar,24.3643,56.7468,33.01,75,0,2.57,OM,1725859624
238,ak-suu,42.4995,78.527,16.13,34,99,2.74,KG,1725859624
239,kyzyl,51.7,94.45,15.74,37,81,1.07,RU,1725859624
240,huangshan,29.7114,118.3125,35.41,42,2,2.35,CN,1725859625
241,weno,7.4515,151.8468,30.97,74,100,2.06,FM,1725859625
242,kota tinggi,1.7381,103.8999,32.86,60,96,2.75,MY,1725859673
243,chui,-33.6971,-53.4616,13.71,96,100,2.88,UY,1725859625
244,coaldale,49.7167,-112.6185,15.55,58,0,4.12,CA,1725859625
245,luderitz,-26.6481,15.1594,11.02,61,0,4.77,NA,1725859625
246,auki,-8.7676,160.7034,25.8,86,96,2.21,SB,1725859625
247,anna regina,7.2644,-58.5077,27.86,77,6,3.47,GY,1725859673
248,ad dilam,23.9915,47.1627,32.43,23,0,0.36,SA,1725859674
249,valparaiso,-33.0393,-71.6273,8.8,93,0,1.03,CL,1725859625
250,stettler,52.3168,-112.7186,19.36,36,61,4.02,CA,1725859625
251,male,4.1748,73.5089,31.97,70,75,4.63,MV,1725859625
252,aykhal,66.0,111.5,6.86,73,89,7.17,RU,1725859367
253,kingston,17.997,-76.7936,29.53,79,20,3.6,JM,1725859625
254,acajutla,13.5928,-89.8275,26.36,85,97,3.6,SV,1725859625
255,ghat,24.9647,10.1728,31.38,38,99,2.68,LY,1725859626
256,polyarnyy,69.1989,33.4478,13.61,83,23,6.96,RU,1725859626
257,palopo,-2.9996,120.1921,28.3,79,53,2.18,ID,1725859626
258,sagaing,21.8787,95.9797,32.1,70,75,2.57,MM,1725859626
259,haiku-pauwela,20.9219,-156.3051,25.01,79,20,4.63,US,1725859626
260,portland,45.5234,-122.6762,21.11,77,0,4.63,US,1725859269
261,berezovyy,51.6667,135.7,23.12,33,82,2.47,RU,1725859626
262,ad dabbah,18.05,30.95,33.21,21,3,2.43,SD,1725859675
263,aasiaat,68.7098,-52.8699,1.23,76,74,3.24,GL,1725859626
264,azangaro,-14.9167,-70.2167,3.28,74,24,1.97,PE,1725859626
265,shahrak,34.1074,64.3052,16.18,22,0,2.61,AF,1725859626
266,al hilaliyya,14.9398,33.234,28.25,64,80,4.56,SD,1725859675
267,jutai,-5.1833,-68.9,27.92,43,74,1.59,BR,1725859626
268,kulu,39.0951,33.0799,19.91,54,7,1.68,TR,1725859626
269,pacific grove,36.6177,-121.9166,14.25,93,100,3.58,US,1725859532
270,porto novo,6.4965,2.6036,23.9,91,40,1.97,BJ,1725859626
271,gannan,47.9147,123.5031,25.13,63,97,9.72,CN,1725859627
272,saint croix,17.7397,-64.7388,27.25,86,40,3.09,VI,1725859676
273,belel,7.05,14.4333,15.35,95,96,0.93,CM,1725859627
274,belfast,54.5833,-5.9333,11.9,65,100,4.12,GB,1725859627
275,ishigaki,24.3448,124.1572,28.07,89,75,8.75,JP,1725859627
276,maisi,43.0395,41.2621,21.42,59,90,0.92,GE,1725859627
277,chonchi,-42.6128,-73.8092,7.84,95,75,1.28,CL,1725859627
278,badger,64.8,-147.5333,10.95,93,100,3.09,US,1725859627
279,behbahan,30.5959,50.2417,35.92,12,0,1.0,IR,1725859627
280,lihue,21.9789,-159.3672,25.77,75,100,3.6,US,1725859627
281,ra's bayrut,33.9,35.4833,30.05,65,20,1.03,LB,1725859676
282,talnakh,69.4865,88.3972,0.76,97,100,7.14,RU,1725859627
